,Date,Forecast
0,2023-04-01,303.60565
1,2023-05-01,303.934
2,2023-06-01,304.8786
3,2023-07-01,303.39563
4,2023-08-01,305.9241
5,2023-09-01,305.77902
6,2023-10-01,305.57172
7,2023-11-01,308.0125
